Sun Jun 30 23:54:44 +0000 2019,Denk an das Vorsorge - Bier 
Sat Jun 01 18:40:07 +0000 2019,"Die 4 schlimmsten Getränke - Wasser - Tee - Bier - püriertes Gemüse, was man heute Smoothi nennt Ihr dürft mir jetzt entfolgen #Twitterbeichte"
Sat Jun 01 17:55:04 +0000 2019,Jedes Bier mit Hass gezapft. (@Marlenchen in Bremen) 
Sat Jun 01 16:59:00 +0000 2019,#bier #eiskalt (@EDEKA in Rottenburg Am Neckar)
Sat Jun 01 16:36:15 +0000 2019,Bratwürste können sie in Nürnberg nicht so. Aber Bier auf jeden Fall. @SamDerKoch
Sat Jun 01 15:19:57 +0000 2019,"Nach der Neuwahl des @jusos UB-Vorstandes (der @SPDBochum1) sitzt man zusammen, gratuliert den Gewählten und hört #DieKassierer (@WoelfiWendland) „Das schlimmste ist... wenn das Bier alle ist.“ #boEhrenfeld"
Sat Jun 01 15:01:00 +0000 2019,Grillen und Bier... - Drinking a Veltins Pilsener by Brauerei VELTINS @Scherlebeck — http://untp.beer/s/c757382439
Sat Jun 01 14:32:50 +0000 2019,+Ein Bier! Schön kalt! 
Sat Jun 01 13:58:17 +0000 2019,Joah Bier aus kleinen regionalen Brauereien hat halt andere Preise. 
Sat Jun 01 13:47:20 +0000 2019,Schonmal 30€ für 7 Flaschen Bier ausgegeben? Nein? Ich bis heute auch nicht. 
Sat Jun 01 12:17:42 +0000 2019,Offen und Neues: Das Hürner macht Bier-ernst und dabei viel Spaß! 
Sat Jun 01 12:17:25 +0000 2019,Ok Bier und Salat dann hab ich alles 
Sat Jun 01 08:45:10 +0000 2019,"Bierchen und Sonne, von gestern Abend:) #natur #nature #naturephotography #naturlovers #nature_perfection #beer #sun #bier #sonne #summer #sommer #festivals @Koblenz, Germany https://www.instagram.com/p/ByKTE0uIoMH/?igshid=177s9rmpm6ssv"
Sat Jun 01 08:35:08 +0000 2019,Bier und Spieler 2 €! Läuft! #S04
Sat Jun 01 07:56:42 +0000 2019,"Wir sind ausgelagert. Nördlich des Hansaviertels, viel Spaß beim Suchen. Wenn du uns findest gibts nen Bier. #catchmeifyoucan"
Sat Jun 01 07:46:59 +0000 2019,Houston wir haben ein Problem... Das Bier ist alle... 
